q2_type,q2_label,sample_count,sample_share,rvri_2023_mean,stock_mean_mean,stock_slope_mean,mismatch_mean_mean,light_slope_mean,ndbi_slope_mean
0,稳定占用型,29632,0.3734200345292554,0.2772628058350067,-0.8845967697203334,-0.0311525840008437,-0.7749934126051241,0.0187767956837724,-0.0065472302755836
1,老城衰退型空置,16427,0.207011707181833,0.5334380512452567,1.2563306700365644,-0.0438022878397515,1.0699114067032465,0.1270021814885951,-0.0016161765402461
2,新区扩张型空置,18775,0.2366010106738245,0.4147131522452227,-0.07277104054942,0.0875353507759534,-0.056586042742603,0.0089283697589166,0.0067770375793892
3,过渡混合型,14519,0.182967247615087,0.4465412178761679,0.4736941982657522,-0.0037061821139959,0.4334787343483992,0.0382480826724804,-0.000114490117498
