q2_type,q2_label,sample_count,sample_share,rvri_2023_mean,rvri_2023_median,stock_mean_mean,stock_mean_median,stock_slope_mean,stock_slope_median,mismatch_mean_mean,mismatch_mean_median,light_slope_mean,light_slope_median,ndbi_slope_mean,ndbi_slope_median,dist_to_local_core_mean,dist_to_local_core_median,poi_density_mean,poi_density_median
0,稳定占用型,29632,0.3734200345292554,0.2772628058350067,0.2789550691258121,-0.8845967697203334,-0.8782699881873782,-0.031152584000843767,-0.0228971324499724,-0.7749934126051241,-0.7034177922673477,0.018776795683772416,0.0,-0.006547230275583602,-0.0057788302864539,4934.658608335281,3605.551275463989,0.003509719222462581,0.0
1,老城衰退型空置,16427,0.20701170718183307,0.5334380512452567,0.5375562510072124,1.2563306700365644,1.2980936372224396,-0.04380228783975153,-0.03666846396524305,1.0699114067032465,1.2004093762920351,0.12700218148859513,0.0,-0.001616176540246106,-0.00089744400072445,910.6927966734507,0.0,0.027028672307784996,0.0
2,新区扩张型空置,18775,0.23660101067382455,0.4147131522452227,0.4009453199589192,-0.07277104054942002,-0.1574834477223851,0.08753535077595347,0.0621527258423578,-0.05658604274260309,-0.0063510598375148,0.008928369758916666,0.0,0.006777037579389267,0.0043280709905911,5348.37355632403,3807.886552931129,0.0,0.0
3,过渡混合型,14519,0.182967247615087,0.4465412178761679,0.4312864392514724,0.47369419826575226,0.3966091226414264,-0.0037061821139959586,-0.00963921981189965,0.4334787343483992,0.4817975631885706,0.03824808267248044,0.0,-0.00011449011749806394,-0.0008959665006405501,3235.727931619363,2499.999999998836,0.0,0.0
