risk_state,next_risk_state,count,probability
0,0,423,0.6266666666666667
0,1,223,0.33037037037037037
0,2,29,0.04296296296296296
1,0,486,0.021086428323498784
1,1,15728,0.6824019437695245
1,2,6834,0.29651162790697677
2,0,407,0.003964427300975035
2,1,11748,0.11443265830922533
2,2,90508,0.8816029143897997
