grid_id,district_name,base_year,target_year,year,risk_state,rvri,mismatch_gap,delta_rvri,delta_mismatch_gap,spatial_lag_rvri,neighbor_high_ratio,neighbor_env_level,lisa_type,is_edge_zone,neighbor_count,pred_probability,prob_rank_pct,top_decile_flag
G_027818,浈江区,2023,2024,2023,0,0.3029704230804957,-9.882259755769812,-0.1449208543885167,-2.5781314799564576,0.3247799633281397,0.0,low,LL,0,8,0.3803946471195472,1.0,1
G_028020,浈江区,2023,2024,2023,0,0.286295929819337,-11.689609038476558,-0.1764558787419095,-3.6893988411621663,0.3883393258059521,0.1428571428571428,low,LL,0,7,0.35173917412847167,0.9945054945054945,1
G_028022,浈江区,2023,2024,2023,0,0.3042284901723979,-9.836200311100647,-0.1966502176381859,-4.634605621655723,0.3582991331536655,0.125,low,LL,0,8,0.34981827659920345,0.989010989010989,1
G_055369,翁源县,2023,2024,2023,0,0.2772806257479628,-11.771683116423548,-0.1669614609937577,-3.693184970778846,0.3251961820069791,0.125,low,LL,0,8,0.24604264356161992,0.9835164835164835,1
G_057089,翁源县,2023,2024,2023,0,0.3016221978657388,-12.062301448558491,-0.1344761644228576,-2.8100343700725414,0.4284730099397139,0.5,low,LL,0,8,0.2457182265130043,0.978021978021978,1
G_071766,南雄市,2023,2024,2023,0,0.2645770112573292,-12.005363845540554,-0.0720955003332223,0.1964741433862773,0.4067583010176933,0.375,low,LL,0,8,0.23180936205501138,0.9725274725274725,1
G_019670,乐昌市,2023,2024,2023,0,0.2642644216268044,-10.028629201382104,-0.0922717379584218,-0.3090230094229689,0.4085963099468278,0.5,low,LL,0,8,0.2115835644913882,0.967032967032967,1
G_028228,浈江区,2023,2024,2023,0,0.2939585434799737,-5.720448657993465,-0.0938988170572467,-1.0200429510361406,0.4319384148730528,0.375,low,LL,0,8,0.20763035783091202,0.9615384615384616,1
G_072034,南雄市,2023,2024,2023,0,0.279901825590371,-13.01801232299576,-0.1189439971990963,-1.9034904651929767,0.4220584710880225,0.4285714285714285,low,LL,0,7,0.20612668872139642,0.9560439560439561,1
G_055370,翁源县,2023,2024,2023,0,0.2375639846894675,-13.305521307660634,-0.2469059862535657,-6.930630395574881,0.337414698421696,0.25,low,LL,0,8,0.18950517910793396,0.9505494505494505,1
G_027815,浈江区,2023,2024,2023,0,0.2917769005940214,-13.010385422964276,-0.1386133261681391,-2.722733181240077,0.2217468988089429,0.0,low,LL,0,6,0.18602139167380022,0.945054945054945,1
G_028019,浈江区,2023,2024,2023,0,0.2224176645769064,-13.046729882725693,-0.2085345030858302,-4.516259448303684,0.3928961441421264,0.3333333333333333,low,LL,0,6,0.18481138214236106,0.9395604395604396,1
G_055717,翁源县,2023,2024,2023,0,0.2496887090299691,-10.969527138252063,-0.0559920314246163,0.4077802754153374,0.3119044788505032,0.125,low,LL,0,8,0.18041535689138924,0.9340659340659341,1
G_029035,曲江区,2023,2024,2023,0,0.276896793214204,-11.883525715493969,-0.0822644215863241,0.7567485508609479,0.3404524227441565,0.125,low,LL,0,8,0.17934255001091515,0.9285714285714286,1
G_071903,南雄市,2023,2024,2023,0,0.2980404930482582,-12.135000525137617,-0.0602798312810822,-0.3698620353723427,0.391172787434451,0.4285714285714285,low,LL,0,7,0.16890082350876764,0.9230769230769231,1
G_026967,曲江区,2023,2024,2023,0,0.3155421126708933,-9.357442519320076,-0.0580493279428305,0.7954795170306408,0.3083472672636618,0.0,low,LL,0,8,0.16621180116335454,0.9175824175824175,1
G_013390,乳源瑶族自治县,2023,2024,2023,0,0.3066673745657328,-7.2598105784975795,-0.0945771433799486,-1.4240254467435047,0.408259764685264,0.25,low,LL,0,8,0.16280988733983798,0.9120879120879121,1
G_028612,曲江区,2023,2024,2023,0,0.2817325049407608,-9.116121178926353,-0.1269625779826204,-1.707036145167086,0.4048253228878423,0.125,low,LL,0,8,0.1604548902120919,0.9065934065934066,1
G_026161,浈江区,2023,2024,2023,0,0.2508333231887229,-4.65730441684671,-0.1373092418563214,-1.532422397980341,0.3980447313642275,0.25,low,LL,0,8,0.15962794616304798,0.9010989010989011,1
G_059001,新丰县,2023,2024,2023,0,0.2788250261793134,-11.841421666807513,-0.0163410146476037,2.3902153457314306,0.3143339921904357,0.125,low,LL,0,8,0.15904782097210202,0.8956043956043956,0
